id	y	x1	x2	x3	x4	x5	x6	x7	x8	x9
1	5.50	4.58	3.00	3.00	0.50	4	1	5.00	4.25	0.75
2	3.70	3.68	4.00	4.00	2.50	1	0	9.00	12.00	2.00
3	5.00	4.10	0.00	0.00	0.00	1	0	9.00	7.00	1.00
4	4.50	4.20	5.00	5.00	0.00	1	0	8.00	10.00	3.00
5	5.90	5.38	7.00	4.33	1.00	1	0	29.00	24.00	4.00
6	4.00	4.33	3.50	3.50	0.00	2	0	8.50	8.50	2.00
7	7.00	4.98	7.00	4.00	2.00	2	1	10.50	7.00	0.50
8	4.50	4.48	1.00	1.00	0.00	2	0	4.00	5.00	1.50
9	5.00	5.43	6.00	5.25	3.25	2	1	14.50	14.50	2.50
10	4.50	4.70	3.25	3.25	2.25	2	1	14.50	14.50	2.50
11	5.20	5.13	5.25	4.25	2.00	3	1	9.67	9.67	1.67
12	5.20	5.60	5.00	1.00	0.00	1	0	12.00	7.00	0.00
13	5.90	4.13	7.00	7.00	5.00	2	1	4.50	3.50	0.50
14	7.00	6.78	6.33	5.00	5.00	2	0	10.50	9.50	1.00
15	4.00	5.83	6.25	4.00	1.25	3	1	9.67	9.67	1.67
16	4.80	3.90	1.00	1.00	0.00	1	0	20.00	17.00	3.00
17	6.30	6.48	3.50	3.25	2.75	1	0	29.00	29.00	5.00
18	5.00	6.38	4.33	4.33	2.67	3	1	9.67	8.00	1.33
19	4.50	5.33	4.50	3.75	1.50	3	1	9.67	9.67	1.67
20	4.00	4.53	5.75	4.75	1.00	2	0	14.50	14.50	2.50
21	4.00	4.33	0.00	0.00	0.00	1	0	21.00	14.00	1.00
22	5.00	4.53	4.33	4.00	1.00	3	0	7.00	6.33	0.67
23	4.80	5.53	7.25	6.50	3.25	2	0	14.50	14.50	2.50
24	4.50	4.38	4.67	4.00	1.00	1	1	20.00	22.00	4.00
25	4.00	4.90	7.00	4.50	2.00	1	0	12.00	12.00	1.00
26	4.50	3.80	1.00	1.00	0.00	2	1	4.00	5.00	1.50
27	4.50	4.37	2.25	2.25	0.00	2	0	14.50	14.50	2.50
